id,created_at,username,followers,text,source,url,place_type,name,full_name,country_code,country,language
1251395140666585088,Sat Apr 18 06:20:25 +0000 2020,balapmotornet,8407,Slamet Suroto Usulkan Pengurangan Seri Dan Adanya Latihan Jumat di Oneprix 2020 https://t.co/blAP3uJiVq,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/54edbae6117b0dde.json,city,Sampang,"Sampang, Indonesia",ID,Indonesia,in
1251395147788505090,Sat Apr 18 06:20:27 +0000 2020,haysssss___,1109,"tak faham betul laa. duit takde pun nak ada anak ramai. anak first pun baru setahun lebih, apa salahnya focus dkt yg firstborn dulu 🤔","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/72d5ecacd2d3a055.json,city,Pulai,"Pulai, Johor",MY,Malaysia,in
1251395147855564801,Sat Apr 18 06:20:27 +0000 2020,yemima_bella,369,"Banyak ngesave tutorial bikin pie susu, dessert oreo, dll tapi sampe sekarang cuma wacana 😆","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/07d9d88305488000.json,poi,Warung Mbak Endang,Warung Mbak Endang,ID,Indonesia,in
1251395149269065731,Sat Apr 18 06:20:28 +0000 2020,munirahmazilan,428,@syaidisyahmi Syg act ikan pedas manis..bukan ciken.. ☝🏻,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/4313fafe1157eaaf.json,city,Labu,"Labu, Negeri Sembilan",MY,Malaysia,in
1251395152406446082,Sat Apr 18 06:20:28 +0000 2020,Fildanoors,49,Mantul emg ujan2 begini listrik mati.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/0ad3b2a56b11e689.json,city,Jati,"Jati, Indonesia",ID,Indonesia,in
1251395152863608833,Sat Apr 18 06:20:28 +0000 2020,_AhmadNajihal,839,"@sayaimana bukunya, banyak bgt","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/835fc4688b7053ac.json,admin,Papua Barat,"Papua Barat, Indonesia",ID,Indonesia,in
1251395157062111232,Sat Apr 18 06:20:29 +0000 2020,ieddean_,407,@IzzyWafi Tu la tu. Tah pape tah,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/e7a411bac68f57b1.json,admin,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",MY,Malaysia,in
1251395159733891078,Sat Apr 18 06:20:30 +0000 2020,justpehh02,55,@afaresshop_ @lzfauzi__ Mau Neozone tp mau Itzme jg,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/b0f1e0022c9f810a.json,city,Cileunyi,"Cileunyi, Indonesia",ID,Indonesia,in
1251395162023931904,Sat Apr 18 06:20:31 +0000 2020,amrizal_ali,86,@mrmnzr @backpackingMY Saya jerit2 Give back!! Give back!! .. dia buat muka mcm phm benda. Saya tarik jacket girl t… https://t.co/dXJfPNezLp,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/f7677939bcd34a9a.json,city,Rawang,"Rawang, Selangor",MY,Malaysia,in
1251395163714277378,Sat Apr 18 06:20:31 +0000 2020,nrshzwnis,66,@MahirahTaj Lepastu lengan 😂,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/f7f8f502b090e579.json,city,Kajang,"Kajang, Selangor",MY,Malaysia,in
1251395174715895810,Sat Apr 18 06:20:34 +0000 2020,anggrasaskia,1093,"Orang yang suka ngelecehin perempuan itu kenapa sih?

Ribut ama gue sinilah anjing","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/440543bcd7c9e403.json,city,Sewon,"Sewon, Indonesia",ID,Indonesia,in
1251395179732336640,Sat Apr 18 06:20:35 +0000 2020,nabilariduan,1210,Dia tanya berapa nanti dia bayar jumpa nanti. Hishh takyah lah. Doakan akak murah rezeki and jodoh berpanjangan je. K yang latter tu tipu.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/ac81136a7676c2a8.json,city,Ampang Tinggi,"Ampang Tinggi, Negeri Sembilan",MY,Malaysia,in
1251395179174490112,Sat Apr 18 06:20:35 +0000 2020,gentasat,7162,@mutiaamalia @ravikafifi Udah ada di Viuuu https://t.co/nRmF4rQXHT,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/ac9f3b0d4a96ff80.json,city,Cakung,"Cakung, Indonesia",ID,Indonesia,in
1251395181900738560,Sat Apr 18 06:20:35 +0000 2020,erfanalamsyah13,247,"try again, yookk bisa yookk","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/3fd94a02a1dd58cf.json,city,Sei Beduk,"Sei Beduk, Indonesia",ID,Indonesia,in
1251395183574319104,Sat Apr 18 06:20:36 +0000 2020,tigorsiagian,6832,"@lyndaibrahim @tsuroiya @AryChristiawan Saya nyoba beli yg ini di toped. Lumayan ok, minimal bisa dipake mencegah d… https://t.co/XoQ083Xv1U","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/9dca48bb616068a2.json,city,Pondok Aren,"Pondok Aren, Indonesia",ID,Indonesia,in
1251395186065694720,Sat Apr 18 06:20:36 +0000 2020,magfira_fio,71,@rucibm1 Nanti dicoba lagi wkwkwk kemarin itu abis muntah jdi seblaknya kek mirip muntah 😭😭😭😭,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/79bc0b08ec39a858.json,city,Bulukumpa,"Bulukumpa, Indonesia",ID,Indonesia,in
1251395185344274432,Sat Apr 18 06:20:36 +0000 2020,watermelonsushe,105,"Alhamdulillah stock zarzou serum dah sampai 😍

sedih sebab harini poslaju tutup so i takleh nak pos to my customers… https://t.co/taDSUV4Xwr","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/5b04649863b902a4.json,city,Cenering,"Cenering, Terengganu",MY,Malaysia,in
1251395187529576450,Sat Apr 18 06:20:37 +0000 2020,diyan_prakoso,725,"berkata baik itu bagus, 
tapi menghujat terasa lebih nikmat.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/39e923d79493cd32.json,city,Lima,"Lima, Indonesia",ID,Indonesia,in
1251395188380954624,Sat Apr 18 06:20:37 +0000 2020,dodolo1234,1952,"@boldparadox Ampe gw zoom mastiin kali ini cococrunch dgn susu,bukan kurma dengan susu","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/8abebb7370b6cef9.json,city,Pancoran,"Pancoran, Indonesia",ID,Indonesia,in
